I_Code,I_Name,Min_Reorder,I_P_Price,I_S_Price_W,I_S_Price_N,I_S_Price_P,I_Disc
257068025,"اولادى م8/6/4/2 م 937 الشامى ص",0,120,122,122,132,0
257068026,"اولادى م 8/6/4 م 950 الشامى ص",0,120,122,122,132,0
257068027,"اولادى م20/18/16 م 955 الشامى ص",0,155,157,157,167,0
257068028,"اولادى م20/18/16 م 1043 الشامى ص",0,170,172,172,182,0
257068029,"اولادى م14/12/10 م 1051 الشامى ص",0,155,157,157,167,0
253011001,"عباية روب كوريشه استرس السحاب",0,750,780,780,800,0
253011002,"عباية كريب قطان السحاب",0,680,710,710,730,0
253011003,"عباية كوريشة استرس روب السحاب",0,680,710,710,730,0
253011004,"عباية كوريشة ليزر 2ق السحاب",0,700,750,750,790,0
254072001,"م 510 روفان",0,180,195,195,225,0
254072002,"م 610 روفان",0,180,195,195,225,0
254072003,"بلوزة م 555 روفان",0,210,225,225,245,0
254072004,"بلوزة م 5001 روفان",0,230,245,245,265,0
252135020,"جيبه م 4000 لين كيدز",0,400,420,420,440,0
252135021,"بلوزة م 2032 لين كيدز",0,350,370,370,390,0
252135022,"توينز م 2031 لين كيدز",0,390,400,400,420,0
252135023,"توينز زراير م 2033 لين كيدز",0,270,295,295,315,0
252135024,"توينز جينز لولى م 2030 لين كيدز",0,420,440,440,460,0
252135025,"توينز جينز اولادى م 2025 لين كيدز",0,430,460,460,480,0
252135026,"توينز اولادى طباعة م 2028 لين كيدز",0,420,450,450,470,0
252135027,"قميص اولادى م 2029 لين كيدز",0,310,330,330,350,0
252135028,"توينز م 2026 لين كيدز",0,450,480,480,500,0
255017001,"سيلا النجار",0,445,475,475,485,0
255017003,"شياكة تركى النجار",0,480,510,510,520,0
255017004,"كوفرتة مودرن نيو النجار",0,450,350,350,350,0
255017005,"كوفرتة رزان نيو النجار",0,450,350,350,350,0
255591014,"دفاية موريلا مودرن 4ق *10 ب*ة",0,760,800,800,810,0
255591015,"دفاية اسبانيول اطفال بلابل *10 ب*ة",0,685,725,725,735,0
255591016,"دفاية اسبانيول مطبوع 1ق *6 ب*ة",0,545,585,585,595,0
255591017,"دفاية اسبانيول مطبوع 3ق*6 ب*ة",0,630,670,670,680,0
255591018,"دفاية اسبانيول مطبوع 4ق *6 ب*ة",0,750,790,790,800,0
250057001,"هتريك قطن خاص",0,230,249,250,260,0
250133001,"محير زهرى مطرز م 119 نوكومنت",0,145,162,162,172,0
256182022,"عباية تايجر اطفال م1  م 2177 السماء",0,155,160,160,180,0
253099001,"م 2409 قمر",0,830,880,880,900,0
253099002,"م 2465 قمر",0,815,865,865,885,0
253099003,"م 2428 قمر",0,755,810,810,830,0
253099004,"م 2408 قمر",0,750,799,799,820,0
253099005,"م 2420 قمر",0,800,850,850,870,0
253099006,"م 2430 قمر",0,800,850,850,870,0
256182023,"عباية تايجر م2 م 2178 السماء",0,170,175,175,195,0
256182024,"عباية تايجرم 3 م 2179 السماء",0,185,190,190,210,0
256182025,"عباية اطفال م 2211 السماء",0,205,210,210,230,0
256182026,"عباية ادوار اطفال م 2212 السماء",0,220,225,225,245,0
256182027,"عباية ادوار اطفال م 2213 السماء",0,235,240,240,260,0
256182028,"عباية ادوار اطفال م 2217 السماء",0,191,196,196,216,0
256182029,"عباية ادوار اطفال م 2218 السماء",0,206,211,211,235,0
256182030,"عباية اطفال ادوار م 2219 السماء ",0,221,226,226,246,0
254207001,"فستان م 904 ريماس",0,360,385,385,405,0
254207002,"فستان م 905 ريماس",0,380,405,405,425,0
254207003,"قميص م 902 ريماس",0,230,250,250,270,0
254207004,"اولادى جبردين م 903 ريماس",0,320,350,350,370,0
254207005,"اولادى جبردين م 901 ريماس",0,340,365,365,385,0
254128001,"جلد م2 م 506 هبه",0,320,350,350,370,0
254128002,"فستان محير وردة م 507 هبة",0,420,450,450,470,0
254128003,"بدلة جبردين م2 م 501 هبة",0,280,310,310,330,0
254128004,"فستان كوريشة م 503 هبه",0,280,310,310,330,0
253003001,"دريل سواريه بلسيه ميرنا",0,375,395,395,415,0
253003002,"درل عادى ميرنا تكس",0,375,395,395,415,0
257124001,"بنطلون غطس السنى",0,112,0,0,0,0
252200001,"بنطلون ليجن اطفال م10/8/6/4 الوان",0,80,94,94,104,0
252200002,"بنطلون ليجن محيرات م18/16/14/12 الوان",0,110,119,119,129,0
256182031,"عباية اطفال م 2106 السماء",0,172,177,177,197,0
256182032,"عباية اطفال م2 م 2107 السماء",0,187,192,192,212,0
256182033,"عباية اطفال م3 م 2108 السماء",0,202,207,207,227,0
